y,x,street_count,elevation,highway,geometry
51.4827591,7.3908729,3,144.0,,POINT (7.3908729 51.4827591)
51.4878909,7.3838817,4,115.0,crossing,POINT (7.3838817 51.4878909)
51.4914939,7.3718218,4,101.0,,POINT (7.3718218 51.4914939)
51.493922,7.3683147,3,84.0,,POINT (7.3683147 51.493922)
51.4832216,7.3864685,3,139.0,,POINT (7.3864685 51.4832216)
51.486546,7.3738475,3,111.0,,POINT (7.3738475 51.486546)
51.4871447,7.373744,1,111.0,,POINT (7.373744 51.4871447)
51.4887346,7.3733411,3,109.0,,POINT (7.3733411 51.4887346)
51.4884976,7.3733225,3,109.0,,POINT (7.3733225 51.4884976)
51.4881384,7.3741401,3,109.0,,POINT (7.3741401 51.4881384)
51.4883472,7.3754163,4,111.0,,POINT (7.3754163 51.4883472)
51.4883743,7.3766715,3,111.0,,POINT (7.3766715 51.4883743)
51.4884865,7.3743287,4,109.0,,POINT (7.3743287 51.4884865)
51.48838,7.3749718,4,109.0,,POINT (7.3749718 51.48838)
51.4888008,7.3731602,3,109.0,,POINT (7.3731602 51.4888008)
51.4887024,7.374433,3,109.0,,POINT (7.374433 51.4887024)
51.4880791,7.3749421,3,109.0,,POINT (7.3749421 51.4880791)
51.4884498,7.3752671,3,111.0,,POINT (7.3752671 51.4884498)
51.4883703,7.3753916,3,111.0,,POINT (7.3753916 51.4883703)
51.4884104,7.3756424,3,111.0,,POINT (7.3756424 51.4884104)
51.4884401,7.3756472,3,111.0,,POINT (7.3756472 51.4884401)
51.4883894,7.3756268,3,111.0,,POINT (7.3756268 51.4883894)
51.4884649,7.3749853,3,109.0,,POINT (7.3749853 51.4884649)
51.488391,7.3762542,3,111.0,,POINT (7.3762542 51.488391)
51.4884213,7.3734342,1,109.0,,POINT (7.3734342 51.4884213)
51.4882298,7.373666,1,109.0,,POINT (7.373666 51.4882298)
51.4884028,7.3740488,1,109.0,,POINT (7.3740488 51.4884028)
51.4884026,7.3742933,3,109.0,,POINT (7.3742933 51.4884026)
51.4887859,7.3757396,3,111.0,,POINT (7.3757396 51.4887859)
51.4888132,7.3754526,3,111.0,,POINT (7.3754526 51.4888132)
51.4888555,7.3724431,1,105.0,,POINT (7.3724431 51.4888555)
51.4886217,7.3725948,3,105.0,,POINT (7.3725948 51.4886217)
51.4887984,7.3725293,1,105.0,,POINT (7.3725293 51.4887984)
51.4886192,7.3727181,3,105.0,,POINT (7.3727181 51.4886192)
51.4884846,7.3725796,3,105.0,,POINT (7.3725796 51.4884846)
51.4885323,7.3725837,3,105.0,,POINT (7.3725837 51.4885323)
51.4885457,7.3724407,1,105.0,,POINT (7.3724407 51.4885457)
51.4886875,7.3747811,1,109.0,,POINT (7.3747811 51.4886875)
51.4958896,7.3723324,3,87.0,,POINT (7.3723324 51.4958896)
51.4957773,7.3724784,3,89.0,,POINT (7.3724784 51.4957773)
51.4951284,7.3711974,4,89.0,crossing,POINT (7.3711974 51.4951284)
51.4950114,7.3713477,3,89.0,,POINT (7.3713477 51.4950114)
51.495671,7.3726264,3,89.0,crossing,POINT (7.3726264 51.495671)
51.4955487,7.3727776,3,89.0,,POINT (7.3727776 51.4955487)
51.4954437,7.3729134,3,89.0,,POINT (7.3729134 51.4954437)
51.4952475,7.3710444,3,89.0,,POINT (7.3710444 51.4952475)
51.4953524,7.3709081,3,89.0,,POINT (7.3709081 51.4953524)
51.4961132,7.3720429,3,87.0,,POINT (7.3720429 51.4961132)
51.4960034,7.3721878,3,87.0,,POINT (7.3721878 51.4960034)
51.4956657,7.3711608,3,89.0,,POINT (7.3711608 51.4956657)
51.4962257,7.3719026,3,87.0,,POINT (7.3719026 51.4962257)
51.495777,7.3710131,3,89.0,,POINT (7.3710131 51.495777)
51.4949015,7.3714843,4,89.0,crossing,POINT (7.3714843 51.4949015)
51.4947965,7.3716224,3,89.0,,POINT (7.3716224 51.4947965)
51.496294,7.372041,3,87.0,,POINT (7.372041 51.496294)
51.4956222,7.3733521,3,92.0,,POINT (7.3733521 51.4956222)
51.4941136,7.3725129,3,89.0,,POINT (7.3725129 51.4941136)
51.494473,7.3740516,4,92.0,crossing,POINT (7.3740516 51.494473)
51.4944085,7.3742296,3,92.0,,POINT (7.3742296 51.4944085)
51.4932817,7.3743471,3,98.0,,POINT (7.3743471 51.4932817)
51.4942937,7.3733184,3,92.0,,POINT (7.3733184 51.4942937)
51.4943533,7.3734384,3,92.0,,POINT (7.3734384 51.4943533)
51.4946401,7.3739295,4,92.0,crossing,POINT (7.3739295 51.4946401)
51.494685,7.3740353,4,92.0,,POINT (7.3740353 51.494685)
51.4929276,7.3705928,3,92.0,,POINT (7.3705928 51.4929276)
51.4935834,7.3719286,3,97.0,,POINT (7.3719286 51.4935834)
51.4962317,7.3715514,3,87.0,,POINT (7.3715514 51.4962317)
51.4946746,7.3717837,4,89.0,crossing,POINT (7.3717837 51.4946746)
51.4953275,7.3730628,3,92.0,,POINT (7.3730628 51.4953275)
51.4951946,7.3732528,3,92.0,,POINT (7.3732528 51.4951946)
51.4945352,7.3719596,3,89.0,,POINT (7.3719596 51.4945352)
51.4873895,7.3821316,3,120.0,,POINT (7.3821316 51.4873895)
51.4930021,7.3858963,4,105.0,,POINT (7.3858963 51.4930021)
51.4930721,7.3858956,3,105.0,,POINT (7.3858956 51.4930721)
51.4958903,7.3708764,3,87.0,,POINT (7.3708764 51.4958903)
51.495556,7.3713092,3,89.0,,POINT (7.3713092 51.495556)
51.4865805,7.3950914,3,128.0,,POINT (7.3950914 51.4865805)
51.4866197,7.3948317,3,128.0,,POINT (7.3948317 51.4866197)
51.4778745,7.3738058,4,146.0,,POINT (7.3738058 51.4778745)
51.4782592,7.3735912,3,146.0,,POINT (7.3735912 51.4782592)
51.4785947,7.3735119,3,146.0,,POINT (7.3735119 51.4785947)
51.4799327,7.3783675,4,140.0,,POINT (7.3783675 51.4799327)
51.4788999,7.3774259,3,147.0,,POINT (7.3774259 51.4788999)
51.4851046,7.3765016,3,127.0,,POINT (7.3765016 51.4851046)
51.487119,7.3746217,3,111.0,,POINT (7.3746217 51.487119)
51.4874797,7.3755589,3,116.0,,POINT (7.3755589 51.4874797)
51.487323,7.3755567,4,116.0,,POINT (7.3755567 51.487323)
51.4869583,7.37581,3,116.0,,POINT (7.37581 51.4869583)
51.4874824,7.3753451,3,116.0,,POINT (7.3753451 51.4874824)
51.4872651,7.3753381,3,116.0,,POINT (7.3753381 51.4872651)
51.4909748,7.3731904,3,102.0,,POINT (7.3731904 51.4909748)
51.4919317,7.3729188,3,98.0,,POINT (7.3729188 51.4919317)
51.4920788,7.3727252,3,97.0,,POINT (7.3727252 51.4920788)
51.4947331,7.3742488,3,92.0,,POINT (7.3742488 51.4947331)
51.4948535,7.3749404,3,92.0,,POINT (7.3749404 51.4948535)
51.4945525,7.374946,1,92.0,,POINT (7.374946 51.4945525)
51.4948058,7.3746649,3,92.0,,POINT (7.3746649 51.4948058)
51.4945477,7.3746681,1,92.0,,POINT (7.3746681 51.4945477)
51.4946311,7.3721481,3,89.0,,POINT (7.3721481 51.4946311)
51.4942041,7.3726875,3,89.0,,POINT (7.3726875 51.4942041)
51.4947203,7.3723235,3,89.0,,POINT (7.3723235 51.4947203)
51.4942982,7.3728692,3,89.0,,POINT (7.3728692 51.4942982)
51.4948102,7.3725003,3,89.0,,POINT (7.3725003 51.4948102)
51.4943872,7.373041,3,92.0,,POINT (7.373041 51.4943872)
51.4948975,7.3726718,3,89.0,,POINT (7.3726718 51.4948975)
51.4944826,7.373225,3,92.0,,POINT (7.373225 51.4944826)
51.4949869,7.3728414,3,89.0,,POINT (7.3728414 51.4949869)
51.4945677,7.3733929,3,92.0,,POINT (7.3733929 51.4945677)
51.4950798,7.3730307,3,92.0,,POINT (7.3730307 51.4950798)
51.4909439,7.3802122,3,108.0,,POINT (7.3802122 51.4909439)
51.4886391,7.384855,1,115.0,,POINT (7.384855 51.4886391)
51.4838468,7.3864393,3,130.0,,POINT (7.3864393 51.4838468)
51.4908981,7.3734192,3,102.0,,POINT (7.3734192 51.4908981)
51.4903824,7.3730471,3,102.0,,POINT (7.3730471 51.4903824)
51.4903658,7.3749146,3,102.0,,POINT (7.3749146 51.4903658)
51.4900926,7.3746767,4,102.0,,POINT (7.3746767 51.4900926)
51.4898909,7.374497,3,102.0,,POINT (7.374497 51.4898909)
51.4901754,7.374433,3,102.0,,POINT (7.374433 51.4901754)
51.4903482,7.3731651,3,102.0,,POINT (7.3731651 51.4903482)
51.4906159,7.3736872,3,102.0,,POINT (7.3736872 51.4906159)
51.490541,7.3739049,3,102.0,,POINT (7.3739049 51.490541)
51.490466,7.3741226,3,102.0,,POINT (7.3741226 51.490466)
51.490391,7.3743403,3,102.0,,POINT (7.3743403 51.490391)
51.4899732,7.3742535,3,102.0,,POINT (7.3742535 51.4899732)
51.4900482,7.3740358,3,102.0,,POINT (7.3740358 51.4900482)
51.4901232,7.3738181,3,102.0,,POINT (7.3738181 51.4901232)
51.4901982,7.3736004,3,102.0,,POINT (7.3736004 51.4901982)
51.4902732,7.3733827,3,102.0,,POINT (7.3733827 51.4902732)
51.4897591,7.3752601,3,104.0,,POINT (7.3752601 51.4897591)
51.4898026,7.3749995,3,102.0,,POINT (7.3749995 51.4898026)
51.4900504,7.3752201,3,104.0,,POINT (7.3752201 51.4900504)
51.4897052,7.3757729,3,104.0,,POINT (7.3757729 51.4897052)
51.4900178,7.3748912,3,102.0,,POINT (7.3748912 51.4900178)
51.4870814,7.3782573,3,118.0,,POINT (7.3782573 51.4870814)
51.4875358,7.3774248,1,113.0,,POINT (7.3774248 51.4875358)
51.4877388,7.3779045,3,113.0,,POINT (7.3779045 51.4877388)
