osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,service,ref,access,tunnel,bridge,junction
39427583,,service,,,False,False,18.68,,"LINESTRING (7.3749995 51.4898026, 7.3752601 51.4897591)",parking_aisle,,,,,
39427583,,service,,,False,True,18.683,,"LINESTRING (7.3749995 51.4898026, 7.3747401 51.4898489)",parking_aisle,,,,,
39427591,,service,,,False,False,31.504,,"LINESTRING (7.3749995 51.4898026, 7.3752201 51.4900504)",parking_aisle,,,,,
39427591,,service,,,False,True,31.504,,"LINESTRING (7.3752201 51.4900504, 7.3749995 51.4898026)",parking_aisle,,,,,
315151082,,service,,,False,False,45.158,,"LINESTRING (7.3752201 51.4900504, 7.37545 51.4899704, 7.3752601 51.4897591)",parking_aisle,,,,,
315151082,,service,,,False,True,32.374,,"LINESTRING (7.3752201 51.4900504, 7.3749907 51.4901296, 7.3748912 51.4900178)",parking_aisle,,,,,
39427593,,service,,,False,False,13.21,,"LINESTRING (7.3757729 51.4897052, 7.375866 51.4898089)",parking_aisle,,,,,
"[72352566, 72352570, 72352558, 39427583]",,"['footway', 'steps', 'service']",,,False,"[False, True]",35.91,,"LINESTRING (7.3757729 51.4897052, 7.376085 51.4896748, 7.3761957 51.4896946, 7.3762307 51.4897154, 7.376259 51.4897323)",parking_aisle,,,,,
39427583,,service,,,False,True,19.076,,"LINESTRING (7.3757729 51.4897052, 7.3756309 51.4897205, 7.3755013 51.489734)",parking_aisle,,,,,
39427594,,service,,,False,False,17.022,,"LINESTRING (7.3748912 51.4900178, 7.3746767 51.4900926)",parking_aisle,,,,,
315151082,,service,,,False,True,21.498,,"LINESTRING (7.3748912 51.4900178, 7.3747401 51.4898489)",parking_aisle,,,,,
315151082,,service,,,False,False,32.374,,"LINESTRING (7.3748912 51.4900178, 7.3749907 51.4901296, 7.3752201 51.4900504)",parking_aisle,,,,,
5353012,,path,,,False,False,16.423,,"LINESTRING (7.3782573 51.4870814, 7.3783728 51.4872104)",,,,,,
